last_name, first_name,player_id,year,batting_avg,slg_percent,on_base_percent,isolated_power,xba,xslg,woba,xwoba,xobp,xiso,
Rodriguez, Chris,669735,2021,.243,.313,.351,.070,.217,.292,.304,.289,.328,.075,
Alexy, A.J.,669935,2021,.167,.346,.320,.179,.278,.473,.300,.387,.410,.195,
White, Mitch,669952,2021,.215,.356,.279,.141,.245,.372,.276,.298,.308,.127,
Baragar, Caleb,670056,2021,.235,.346,.347,.111,.221,.399,.303,.318,.338,.178,
Mills, Wyatt,670090,2021,.352,.519,.422,.167,.291,.401,.399,.352,.379,.110,
Bednar, David,670280,2021,.185,.324,.253,.139,.189,.304,.249,.246,.257,.116,
Hammer, JD,670456,2021,.259,.407,.362,.148,.228,.346,.336,.303,.334,.118,
Oviedo, Johan,670912,2021,.251,.412,.361,.161,.272,.454,.339,.364,.380,.182,
Richards, Trevor,670950,2021,.175,.364,.247,.189,.218,.414,.264,.302,.287,.195,
Uceta, Edwin,670955,2021,.253,.413,.337,.160,.231,.403,.323,.324,.332,.172,
Ramirez, Yohan,670990,2021,.188,.396,.289,.208,.175,.323,.304,.276,.286,.148,
Detmers, Reid,672282,2021,.295,.534,.386,.239,.263,.475,.390,.358,.358,.212,
Perez, Cionel,672335,2021,.233,.444,.369,.211,.209,.365,.351,.319,.350,.156,
Hernandez, Carlos,672578,2021,.223,.332,.318,.109,.234,.389,.291,.320,.331,.155,
Patino, Luis,672715,2021,.232,.393,.303,.161,.243,.426,.300,.319,.315,.183,
Guenther, Sean,674944,2021,.348,.494,.417,.146,.276,.419,.396,.342,.362,.143,
Lowther, Zac,675912,2021,.298,.496,.384,.198,.294,.565,.380,.404,.381,.272,
Karinchak, James,675916,2021,.176,.352,.294,.176,.188,.334,.287,.294,.309,.146,
Howard, Spencer,675921,2021,.269,.452,.362,.183,.249,.400,.352,.330,.346,.151,
Naughton, Packy,676050,2021,.290,.419,.389,.129,.275,.407,.354,.345,.376,.132,
Heuer, Codi,676051,2021,.261,.406,.320,.145,.254,.387,.313,.306,.319,.134,
Junk, Janson,676083,2021,.294,.529,.310,.235,.296,.571,.357,.375,.316,.275,
Elledge, Seth,676220,2021,.302,.465,.404,.163,.267,.422,.376,.349,.375,.155,
Abbott, Cory,676265,2021,.286,.643,.378,.357,.266,.555,.426,.392,.366,.288,
Bettinger, Alec,676424,2021,.391,.696,.431,.305,.323,.488,.476,.376,.377,.166,
Whitlock, Garrett,676477,2021,.233,.349,.282,.116,.228,.333,.272,.266,.277,.105,
Fleming, Josh,676596,2021,.268,.407,.321,.139,.278,.434,.313,.331,.332,.156,
Zuber, Tyler,676604,2021,.250,.462,.358,.212,.288,.565,.351,.407,.392,.277,
Margevicius, Nick,676606,2021,.250,.442,.350,.192,.277,.448,.339,.355,.363,.171,
Vest, Will,676684,2021,.288,.432,.378,.144,.288,.416,.355,.352,.381,.128,
Whitley, Kodi,676831,2021,.172,.230,.267,.058,.207,.328,.231,.279,.297,.121,
Peacock, Matt,676840,2021,.304,.494,.352,.190,.270,.417,.357,.319,.325,.147,
Ashby, Aaron,676879,2021,.210,.328,.286,.118,.193,.324,.272,.269,.272,.131,
de Geus, Brett,676969,2021,.308,.478,.399,.170,.285,.430,.379,.361,.385,.145,
Crochet, Garrett,676979,2021,.213,.289,.304,.076,.216,.315,.269,.281,.312,.098,
Garcia, Luis,677651,2021,.232,.393,.294,.161,.236,.395,.297,.305,.301,.159,
Bruihl, Justin,677865,2021,.203,.250,.288,.047,.254,.356,.239,.300,.337,.101,
Weathers, Ryan,677960,2021,.279,.497,.334,.218,.278,.479,.356,.351,.337,.201,
Dobnak, Randy,677976,2021,.310,.554,.346,.244,.325,.554,.380,.395,.366,.229,
Gray, Josiah,680686,2021,.238,.506,.319,.268,.219,.454,.348,.325,.308,.235,
Sandlin, Nick,680704,2021,.176,.286,.298,.110,.157,.261,.269,.257,.284,.104,
Wantz, Andrew,681806,2021,.219,.400,.308,.181,.227,.412,.308,.316,.318,.185,
Warren, Austin,681810,2021,.205,.282,.262,.077,.200,.297,.243,.249,.260,.098,
Vesia, Alex,681911,2021,.126,.296,.255,.170,.146,.314,.241,.261,.274,.168,
Mears, Nick,683232,2021,.269,.462,.355,.193,.252,.423,.349,.338,.349,.170,
Arihara, Kohei,685503,2021,.281,.600,.348,.319,.306,.619,.395,.418,.373,.313,
